Region Name,City Name,School Name,School Score
City of Toronto,Toronto,Silver Springs,6.1
Peel Region,Brampton,St. Aidan,6.1
City of Toronto,Toronto,St. Antoine Daniel,6.1
City of Toronto,Toronto,St. Edmund Campion,6.1
City of Toronto,Toronto,St. Kevin,6.1
Peel Region,Mississauga,St. Margaret of Scotland,6.1
City of Toronto,Toronto,St. Simon,6.1
Peel Region,Brampton,Thorndale,6.1
Peel Region,Brampton,Tribune Drive,6.1
City of Toronto,Toronto,Adam Beck,6.0
City of Toronto,Toronto,Beaumonde Heights,6.0
Halton Region,Burlington,Bruce T Lindley,6.0
Halton Region,Milton,Bruce Trail,6.0
City of Toronto,Toronto,Church Street,6.0
York Region,Aurora,Devins Drive,6.0
Peel Region,Brampton,Dolson,6.0
Durham Region,Oshawa,Harmony Heights,6.0
Halton Region,Oakville,Holy Family,6.0
City of Toronto,Toronto,Maple Leaf,6.0
City of Toronto,Toronto,Our Lady of Fatima,6.0
Peel Region,Brampton,Robert J Lee,6.0
City of Toronto,Toronto,Roden,6.0
Halton Region,Burlington,Sir Ernest Macmillan,6.0
City of Toronto,Toronto,St. Agatha,6.0
City of Toronto,Toronto,St. Anthony,6.0
Durham Region,Ajax,St. Jude,6.0
York Region,Stouffville,St. Mark,6.0
York Region,Maple,St. Raphael the Archangel,6.0
Durham Region,Ajax,Applecroft,5.9
City of Toronto,Toronto,Cedar Drive,5.9
Durham Region,Oshawa,Coronation,5.9
Peel Region,Mississauga,Corpus Christi,5.9
City of Toronto,Toronto,Corvette,5.9
Peel Region,Mississauga,Forest Avenue,5.9
City of Toronto,Toronto,Glen Ravine,5.9
York Region,Newmarket,Good Shepherd,5.9
York Region,Maple,Holy Jubilee,5.9
Durham Region,Whitby,Jean-Paul II,5.9
City of Toronto,Toronto,Jesse Ketchum,5.9
City of Toronto,Toronto,Leslieville,5.9
City of Toronto,Toronto,Malvern,5.9
City of Toronto,Toronto,Maryvale,5.9
Peel Region,Brampton,St. Anne,5.9
City of Toronto,Toronto,St. Joachim,5.9
Halton Region,Oakville,St. Joan of Arc,5.9
City of Toronto,Toronto,St. John the Evangelist,5.9
City of Toronto,Toronto,St. Mary,5.9
York Region,Woodbridge,St. Peter,5.9
City of Toronto,Toronto,St. Raphael,5.9
City of Toronto,Toronto,Annette Street,5.8
City of Toronto,Toronto,Avondale,5.8
