Trend,School_Name,City,Current_rank,Overall_last,dummy_1,dummy_2,dummy_3
Notre,Dame,Welland,6.2,n/a,,,
Dr,John,M,Denison,Newmarket,6.2,n/a,
Westside,Orangeville,6.2,n/a,,,,
Sainte-Marie,New,Liskeard,6.2,n/a,,,
Sydenham,Sydenham,6.2,n/a,,,,
Essex,Essex,6.2,n/a,,,,
Huron,Heights,Newmarket,6.2,n/a,,,
St,Marys,Toronto,6.2,n/a,,,
St,Jean,de,Brebeuf,Woodbridge,6.2,n/a,
Champlain,Chelmsford,6.2,n/a,,,,
Stamford,Niagara,Falls,6.2,n/a,,,
Erindale,Mississauga,6.2,n/a,,,,
ONeill,Oshawa,6.2,n/a,,,,
Atikokan,Atikokan,6.1,n/a,,,,
St,Marys,Kitchener,6.1,n/a,,,
Ursuline,(The,Pines),Chatham,6.1,n/a,,
E.J.Lajeunesse,Windsor,6.1,n/a,,,,
Monarch,Park,Toronto,6.1,n/a,,,
North,Park,Brantford,6.1,n/a,,,
Grand,River,Kitchener,6.1,n/a,,,
La,Citadelle,Cornwall,6.1,n/a,,,
Lakeshore,Port,Colborne,6.1,n/a,,,
Walkerville,Windsor,6.1,n/a,,,,
Marshall,McLuhan,Toronto,6.1,n/a,,,
Jean-Vanier,Welland,6.1,n/a,,,,
Mitchell,Mitchell,6.1,n/a,,,,
Jacob,Hespeler,Cambridge,6.1,n/a,,,
Ridgeway-Crystal,Beach,Ridgeway,6.1,n/a,,,
Cayuga,Cayuga,6.1,n/a,,,,
King,City,King,City,6,n/a,,
St,Mary,Cobourg,6,n/a,,,
Robert,Bateman,Burlington,6,n/a,,,
Strathroy,District,Strathroy,6,n/a,,,
Innisdale,Barrie,6,n/a,,,,
Norwell,Palmerston,6,n/a,,,,
Pierre-Savard,Nepean,6,n/a,,,,
St,Josephs,Morrow,Park,Toronto,6,n/a,
Centre,Dufferin,Shelburne,6,n/a,,,
St,Charles,Sudbury,6,n/a,,,
North,Lambton,Forest,6,n/a,,,
Renfrew,Renfrew,6,n/a,,,,
Wellington,Heights,Mount,Forest,6,n/a,,
Perth,and,District,Perth,6,n/a,,
Stratford,Northwestern,Stratford,6,n/a,,,
Mer,Bleue,Orlans,6,n/a,,,
Mille-Iles,Kingston,6,n/a,,,,
The,Humberview,Bolton,6,n/a,,,
Holy,Trinity,Cornwall,5.9,n/a,,,
Monseigneur-de-Charbonnel,Toronto,5.9,n/a,,,,
Chatham-Kent,Chatham,5.9,n/a,,,,
Sir,Oliver,Mowat,Toronto,5.9,n/a,,
Bishop,Ryan,Hamilton,5.9,n/a,,,
LAmoreaux,Toronto,5.9,n/a,,,,
Korah,Sault,Ste.,Marie,5.9,n/a,,
St,Jean,de,Brebeuf,Hamilton,5.9,n/a,
St,Thomas,Aquinas,Tottenham,5.9,n/a,,
Superior,CVI,Thunder,Bay,5.9,n/a,,
St,Dominic,Bracebridge,5.9,n/a,,,
Huron,Park,Woodstock,5.9,n/a,,,
C,W,Jefferys,Toronto,5.9,n/a,,
Stayner,Stayner,5.9,n/a,,,,
St,Thomas,Aquinas,Lindsay,5.8,n/a,,
Burlington,Central,Burlington,5.8,n/a,,,
Ascension,of,Our,Lord,Mississauga,5.8,n/a,
Centennial,Belleville,5.8,n/a,,,,
St,Patrick,Thunder,Bay,5.8,n/a,,
Brebeuf,Toronto,5.8,n/a,,,,
Galt,Cambridge,5.8,n/a,,,,
Westgate,Thunder,Bay,5.8,n/a,,,
Port,Colborne,Port,Colborne,5.8,n/a,,
St,Basil,The,Great,Toronto,5.8,n/a,
Thorold,Thorold,5.8,n/a,,,,
St,Theresas,Midland,5.8,n/a,,,
Blessed,Mother,Teresa,Toronto,5.8,n/a,,
Central,Peel,Brampton,5.8,n/a,,,
Cobourg,Cobourg,5.8,n/a,,,,
