School_Name,City,City,Current_rank,Overall_last,dummy_1,dummy_2,dummy_3,dummy_4
St,Mark's,Stoney,Creek,7.8,n/a,,,
St,Mary's,Sault,Ste.,Marie,7.8,n/a,,
St,Michael,(Corkery),Carp,7.8,n/a,,,
St,Patrick,Schomberg,7.8,n/a,,,,
St,Paul,Thunder,Bay,7.8,n/a,,,
St,Pius,X,Toronto,7.8,n/a,,,
St,Sylvester,Toronto,7.8,n/a,,,,
St,Timothy,Mississauga,7.8,n/a,,,,
St.,Ignatius,of,Loyola,Guelph,7.8,n/a,,
Stoneybrook,London,7.8,n/a,,,,,
Terry,Fox,Ajax,7.8,n/a,,,,
Victory,Guelph,7.8,n/a,,,,,
W,H,Morden,Oakville,7.8,n/a,,,
Whitby,Shores,Whitby,7.8,n/a,,,,
Wismer,Markham,7.8,n/a,,,,,
Agnes,Macphail,Toronto,7.7,n/a,,,,
Alton,Alton,7.7,n/a,,,,,
Bendale,Toronto,7.7,n/a,,,,,
Bennington,Heights,Toronto,7.7,n/a,,,,
Bogart,Newmarket,7.7,n/a,,,,,
Cathedrale,Kingston,7.7,n/a,,,,,
Chapman,Mills,Ottawa,7.7,n/a,,,,
College,Hill,Oshawa,7.7,n/a,,,,
Elda-Rouleau,Alexandria,7.7,n/a,,,,,
Enniskillen,Enniskillen,7.7,n/a,,,,,
Forest,Run,Woodbridge,7.7,n/a,,,,
Gregory,Drive,Chatham,7.7,n/a,,,,
Guardian,Angels,Milton,7.7,n/a,,,,
Guardian,Angels,Stittsville,7.7,n/a,,,,
Humberwood,Downs,Toronto,7.7,n/a,,,,
James,Grieve,Caledon,7.7,n/a,,,,
Jean-Paul,II,Val,Caron,7.7,n/a,,,
Kanata,Nord,Kanata,7.7,n/a,,,,
Lakeside,Ajax,7.7,n/a,,,,,
Legacy,Markham,7.7,n/a,,,,,
McKellar,Park,Central,Thunder,Bay,7.7,n/a,,
Monseigneur-Jamot,Peterborough,7.7,n/a,,,,,
Monsignor,Leo,Cleary,Courtice,7.7,n/a,,,
Morrish,Toronto,7.7,n/a,,,,,
Mount,Royal,Brampton,7.7,n/a,,,,
North,Preparatory,Toronto,7.7,n/a,,,,
Pine,Grove,Oakville,7.7,n/a,,,,
Prince,of,Wales,St,Catharines,7.7,n/a,,
Queen's,Rangers,Copetown,7.7,n/a,,,,
Rippleton,Toronto,7.7,n/a,,,,,
Roch,Carrier,Kanata,7.7,n/a,,,,
Saginaw,Cambridge,7.7,n/a,,,,,
Sir,Isaac,Brock,Guelph,7.7,n/a,,,
Sir,John,A.,Macdonald,Markham,7.7,n/a,,
St,Edward,Jordan,7.7,n/a,,,,
St,James,Kanata,7.7,n/a,,,,
St,James,St,Catharines,7.7,n/a,,,
St,Paul,Burlington,7.7,n/a,,,,
St,Peter,Canisius,Watford,7.7,n/a,,,
St,Thomas,More,Ottawa,7.7,n/a,,,
St.,Benedict,Nepean,7.7,n/a,,,,
St.,Luke,North,Bay,7.7,n/a,,,
Steve,MacLean,Gloucester,7.7,n/a,,,,
Stoney,Creek,London,7.7,n/a,,,,
Sts,Cosmas,and,Damian,Toronto,7.7,n/a,,
West,Oak,Oakville,7.7,n/a,,,,
White,Haven,Toronto,7.7,n/a,,,,
Wilshire,Thornhill,7.7,n/a,,,,,
Winston,Churchill,Kingston,7.7,n/a,,,,
All,Saints,Toronto,7.6,n/a,,,,
ApsleyCentral,Apsley,7.6,n/a,,,,,
Ardagh,Bluffs,Barrie,7.6,n/a,,,,
Balmy,Beach,Toronto,7.6,n/a,,,,
Beatrice,Strong,Port,Hope,7.6,n/a,,,
Blair,Ridge,Whitby,7.6,n/a,,,,
Blessed,Kateri,Kitchener,7.6,n/a,,,,
Bright's,Grove,Bright's,Grove,7.6,n/a,,,
Byron,Northview,London,7.6,n/a,,,,
Clara,Brenton,London,7.6,n/a,,,,
Colonel,J,E,Farewell,Whitby,7.6,n/a,,
David,Suzuki,Markham,7.6,n/a,,,,
Dr,Emily,Stowe,Courtice,7.6,n/a,,,
Dr,S,J,Phillips,Oshawa,7.6,n/a,,
Ferris,Glen,Corbeil,7.6,n/a,,,,
Forest,Avenue,Mississauga,7.6,n/a,,,,
Franklin,Street,Markham,7.6,n/a,,,,
Garden,Avenue,Toronto,7.6,n/a,,,,
Givins/Shaw,Toronto,7.6,n/a,,,,,
Guthrie,Oro,Station,7.6,n/a,,,,
Hélène-Gravel,Sudbury,7.6,n/a,,,,,
Holy,Name,King,City,7.6,n/a,,,
Immaculate,Conception,Formosa,7.6,n/a,,,,
Jack,Donohue,Kanata,7.6,n/a,,,,
Jack,Miner,Whitby,7.6,n/a,,,,
Ledbury,Park,Toronto,7.6,n/a,,,,
Light,of,Christ,Aurora,7.6,n/a,,,
Markham,Gateway,Markham,7.6,n/a,,,,
Monseigneur,Augustin,Caron,LaSalle,7.6,n/a,,,
Northport,Port,Elgin,7.6,n/a,,,,
Nottingham,Ajax,7.6,n/a,,,,,
Ogden,Community,Thunder,Bay,7.6,n/a,,,
Our,Lady,of,Fatima,St,Catharines,7.6,n/a,
Our,Lady,of,Lourdes,Brampton,7.6,n/a,,
Our,Lady,of,Mercy,Mississauga,7.6,n/a,,
Our,Lady,of,Mount,Carmel,Windsor,7.6,n/a,
Plum,Tree,Park,Mississauga,7.6,n/a,,,
Prince,Andrew,LaSalle,7.6,n/a,,,,
